Name                                            Stmts   Miss  Cover
enhomie/philips/update.py                          14      0   100%
enhomie/ubiquiti/__init__.py                        6      0   100%
enhomie/ubiquiti/device.py                          6      0   100%
enhomie/ubiquiti/helpers.py                        71      0   100%
enhomie/ubiquiti/models.py                         19      0   100%
enhomie/ubiquiti/origin.py                         92      0   100%
enhomie/ubiquiti/params/__init__.py                 3      0   100%
enhomie/ubiquiti/params/origin.py                   9      0   100%
enhomie/ubiquiti/params/plugins/__init__.py         2      0   100%
enhomie/ubiquiti/params/plugins/client.py           7      0   100%
enhomie/ubiquiti/plugins/__init__.py                2      0   100%
enhomie/ubiquiti/plugins/client.py                 55      0   100%
enhomie/ubiquiti/plugins/helpers.py                11      0   100%
enhomie/ubiquiti/plugins/test/__init__.py           0      0   100%
enhomie/ubiquiti/plugins/test/test_client.py       44      0   100%
enhomie/ubiquiti/plugins/test/test_helpers.py      16      0   100%
enhomie/ubiquiti/test/__init__.py                  21      0   100%
enhomie/ubiquiti/test/test_device.py               25      0   100%
enhomie/ubiquiti/test/test_models.py                7      0   100%
enhomie/ubiquiti/test/test_origin.py               75      0   100%
enhomie/ubiquiti/test/test_update.py               14      0   100%
enhomie/ubiquiti/update.py                         14      0   100%
enhomie/utils/__init__.py                           8      0   100%
enhomie/utils/child.py                             18      0   100%
enhomie/utils/param.py                             29      0   100%
enhomie/utils/raises.py                             3      0   100%
enhomie/utils/test/__init__.py                      0      0   100%
enhomie/utils/test/test_child.py                   20      0   100%
enhomie/utils/test/test_param.py                   16      0   100%
enhomie/utils/tests.py                             22      0   100%
-------------------------------------------------------------------
TOTAL                                            7075      3    99%
